stage,model_or_family,dataset_scope,evaluation,mean_3d_error_mm,p95_3d_error_mm,role_in_paper,source_file
Initial classical baseline,Gaussian Process Regression,earlier 1link clean data / fair tuning,best fair-tuning validation mean,5.9699,11.8822,Shows the original ~6mm baseline limit before v1000/KRR refinements.,appendix_evidence/legacy_baselines/2026-05-25_model_before_after_summary.html
Initial classical comparison,HistGradientBoosting,earlier 1link clean data / fair tuning,best fair-tuning validation mean,9.0142,17.0555,Secondary classical baseline; worse than GPR.,appendix_evidence/legacy_baselines/2026-05-25_model_before_after_summary.html
Initial classical comparison,RandomForest,earlier 1link clean data / fair tuning,best fair-tuning validation mean,17.4516,36.0614,Weak classical baseline.,appendix_evidence/legacy_baselines/2026-05-25_model_before_after_summary.html
v1000 engineered baseline,Kernel Ridge RBF engineered,v1000-only,20seed repeated random split,2.1448,4.9856,First strong v1000-only kernel baseline.,tables/historical_v1000_candidate_summary.csv
Final model,Density-aware local Kernel Ridge Regression,v1000-only test-260524-1,50seed repeated random split,2.0135,5.0003,Main final result; approximately 2mm-class same-protocol interpolation.,tables/v1000_final_50seed_candidate_comparison.csv
Rejected broader-scope attempt,Whole-v2 local residual best,merged v2 all sources,50seed whole-v2 pooled/source-stratified,2.9358,8.4566,Explains why final claim is v1000-only instead of merged v2.,appendix_evidence/whole_v2_diagnostics/v2_experiment_registry_report.md
