source_group,source_session,session_id,target_id,planned_order_index,timestamp_utc,settle_time_s,settle_start_s,settle_end_s,sample_count,q1_cmd_deg,q2_cmd_deg,q1_encoder_deg,q2_encoder_deg,p_target_x_mm,p_target_y_mm,p_target_z_mm,p_vive_x_mm,p_vive_y_mm,p_vive_z_mm,p_tracker_vertical_home_x_mm,p_tracker_vertical_home_y_mm,p_tracker_vertical_home_z_mm,p_tracker_axis_mapped_x_mm,p_tracker_axis_mapped_y_mm,p_tracker_axis_mapped_z_mm,target_label_residual_x_mm,target_label_residual_y_mm,target_label_residual_z_mm,target_label_residual_norm_mm,quality_flags,settling_pass,settling_wait_sec,settling_position_std_mm,settling_velocity_rms_mm_s,settling_peak_to_peak_mm,tracker_valid_ratio,label_tracker_valid,label_tracker_occluded
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T854,1,2026-05-23T14:10:34.592028+00:00,36.7834233000176,35.78677319997223,36.7834233000176,33,85.82076275707163,74.37561721078296,126.4,124.9,-294.1116354882063,80.58405571141114,288.91441142400015,-164.95597865475924,212.12171148031166,187.39515323461092,-212.12171148031175,-164.95597865475924,187.39515323461094,-164.95597865475924,212.12171148031175,187.39515323461094,129.15565683344704,131.53765576890052,-101.51925818938923,210.45070292251526,ok,true,1.2563342000357807,0.4118276585748696,7.5961580889684335,1.8216757347523385,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T918,2,2026-05-23T14:10:37.472251+00:00,39.663732299988624,38.664855999988504,39.663732299988624,33,85.35933697582163,72.0588971985897,126.4,122.9,-292.5233045950094,92.10880526539,285.4121003363443,-152.26217794529487,208.28786667410293,182.2545271653397,-208.28786667410301,-152.26217794529487,182.25452716533974,-152.26217794529487,208.28786667410301,182.25452716533974,140.26112664971453,116.17906140871293,-103.15757317100457,209.31374264817853,ok,true,1.276684699987527,0.24291332442730093,5.281983255161654,0.9460999359033186,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T432,3,2026-05-23T14:10:40.315108+00:00,42.5065150000155,41.53669939999236,42.5065150000155,32,84.76607525707163,69.98604245083784,126.4,121.8,-290.6337840317199,102.24661815732077,281.88278250688984,-145.96370275203995,206.39074785778138,178.68815775101018,-206.39074785778146,-145.96370275203995,178.6881577510102,-145.96370275203995,206.39074785778146,178.6881577510102,144.67008127967998,104.14412970046061,-103.19462475587966,205.97223780656068,ok,true,1.2581127000157721,0.3642076118511791,4.703789908666614,1.1852050949955057,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T603,4,2026-05-23T14:10:43.197574+00:00,45.38895809999667,44.416999500012025,45.38895809999667,32,85.22750103832163,67.54738980642388,126.4,120.9,-290.46735139391774,114.17850137794689,277.25872111376253,-140.39437699203305,204.21446120509717,176.84522311274839,-204.21446120509725,-140.39437699203305,176.8452231127484,-140.39437699203305,204.21446120509725,176.8452231127484,150.0729744018847,90.03595982715028,-100.41349800101415,201.77027107238723,ok,true,1.2649178999708965,0.18965659336085444,4.481639087520494,0.7809181598635709,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T963,5,2026-05-23T14:10:46.101872+00:00,48.2932976000011,47.294294300023466,48.2932976000011,33,88.12789166332163,66.81579401309969,126.7,119.8,-296.1416192722157,118.04351756330746,275.7731692160073,-134.07359662311612,203.1750145630957,172.80123411636546,-203.17501456309577,-134.07359662311612,172.8012341163655,-134.07359662311612,203.17501456309577,172.8012341163655,162.06802264909956,85.13149699978823,-102.97193509964185,210.03960380123283,ok,true,1.27264149999246,0.30046340774438673,5.155742570171751,0.9661994492641235,1.0,true,False
