source_group,source_root,source_session,target_source,supervised_rows_total,target_feature_T_rows,clean_rows_added,rejected_rows_total,rejected_by_reason,excluded_target_ids_by_reason,calibration_status,calibration_mode,absolute_error_valid,quality_gate_pass_fail,frame_alignment_name,alignment_fit_rows,alignment_calibration_rows,alignment_rotation_angle_deg,alignment_before_rmse_3d_mm,alignment_after_rmse_3d_mm,alignment_after_residual_mean_mm,home_orientation_sample_count,home_origin_delta_to_reference_norm_mm
test-260523-2,data/test-260523-2,rigid2_20260523_065731Z_v300_300t,target_plan.csv,300,300,297,3,"{""quality_flags_not_ok"": 3}","{""quality_flags_not_ok"": [""T054"", ""T089"", ""T166""]}",PARTIAL_VERTICAL_ONLY,INITIAL_VERTICAL_POSE_WITH_TRACKER_ORIENTATION,False,fail,session_home_orientation_to_v1000_frame_v1,0,65,5.612580278614609,219.88940678922899,216.62885309051936,192.71410789003795,65,11.051855639094248
test-260524-1,data/test-260524-1,rigid2_20260523_140957Z_v1000_1000t,supervised_samples.csv feature_* columns,600,600,584,16,"{""quality_flags_not_ok"": 16}","{""quality_flags_not_ok"": [""T190"", ""T228"", ""T277"", ""T456"", ""T458"", ""T465"", ""T490"", ""T491"", ""T581"", ""T622"", ""T682"", ""T785"", ""T889"", ""T917"", ""T926"", ""T995""]}",PARTIAL_VERTICAL_ONLY,INITIAL_VERTICAL_POSE_WITH_TRACKER_ORIENTATION,False,fail,session_home_orientation_to_v1000_frame_v1,0,65,0.0,257.5070672045904,257.5070672045903,236.98352807820768,65,0.0
