source_group,source_session,session_id,target_id,planned_order_index,timestamp_utc,settle_time_s,settle_start_s,settle_end_s,sample_count,q1_cmd_deg,q2_cmd_deg,q1_encoder_deg,q2_encoder_deg,p_target_x_mm,p_target_y_mm,p_target_z_mm,p_vive_x_mm,p_vive_y_mm,p_vive_z_mm,p_tracker_vertical_home_x_mm,p_tracker_vertical_home_y_mm,p_tracker_vertical_home_z_mm,p_tracker_axis_mapped_x_mm,p_tracker_axis_mapped_y_mm,p_tracker_axis_mapped_z_mm,target_label_residual_x_mm,target_label_residual_y_mm,target_label_residual_z_mm,target_label_residual_norm_mm,quality_flags,settling_pass,settling_wait_sec,settling_position_std_mm,settling_velocity_rms_mm_s,settling_peak_to_peak_mm,tracker_valid_ratio,label_tracker_valid,label_tracker_occluded
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T003,1,2026-05-23T06:57:55.155286+00:00,23.40542889997596,22.43390790000558,23.40542889997596,32,-1.8721083366783802,0.14912734643302006,76.2,81.3,-0.16114436216935202,-9.800559030388664,0.7808280784009615,0.014150745672081983,-0.4037698135922891,-0.377113797160182,0.39110406755639815,0.0052013816551266245,-0.39045572854001875,0.0052013816551266245,-0.39110406755639815,-0.39045572854001875,0.175295107841434,9.396789216796375,-1.1579418755611435,9.469488124862496,ok,true,1.2629810000071302,0.43975397045497217,6.828862998437064,1.4204658769381944,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T172,2,2026-05-23T06:57:58.412315+00:00,26.662515499978326,25.69271039997693,26.662515499978326,32,-9.12308489917838,4.111937893605688,71.4,83.8,-4.557470779961603,-47.44432394052823,21.5115795304055,-3.1455751933187193,-10.312832269795871,3.107650031380095,10.55232602625324,-2.370544764189333,2.989243114223882,-2.370544764189333,-10.55232602625324,2.989243114223882,1.411895586642884,37.13149167073236,-18.403929499025402,41.466200016957735,ok,true,1.2690172000438906,0.3600771921622849,4.455358047857754,1.2397490560525282,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T291,3,2026-05-23T06:58:01.449177+00:00,29.699293399986345,28.699297400016803,29.699293399986345,33,-5.695350524178381,8.68441160188189,72.7,85.8,-4.903432368003946,-29.430368156066642,45.29756287056912,-5.9107680016104265,-16.859952507430137,16.010017921894995,17.615981265416263,-3.792320037942268,15.837025085772424,-3.792320037942268,-17.615981265416263,15.837025085772424,-1.0073356336064805,12.570415648636505,-29.28754494867412,31.887150449339714,ok,true,1.276997500041034,0.19074978584531496,3.245799548659533,0.7330401898516605,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T064,4,2026-05-23T06:58:04.565924+00:00,32.81607310002437,31.822492900013458,32.81607310002437,33,-6.48636614917838,14.537177948475401,72.7,90.0,-11.463398637032718,-32.80504489831311,75.30244818814161,-13.667148505985494,-33.87712494112654,43.51105742092158,35.827011864259,-8.5227315891577,43.26026961988923,-8.5227315891577,-35.827011864259,43.26026961988923,-2.2037498689527766,-1.0720800428134254,-31.79139076722003,31.885708334882434,ok,true,1.269026900001336,0.21072863798280547,3.5185018219942936,0.8449842391620095,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T209,5,2026-05-23T06:58:07.684747+00:00,35.9347993999836,34.93850150000071,35.9347993999836,33,-0.9492567741783803,19.292550605082614,75.6,92.0,-16.88568530044399,-4.6909698304877825,99.11750407597141,-18.491223140967897,-36.36691211153833,62.98817652589211,39.144519694792116,-11.689103714956705,62.95283507547043,-11.689103714956705,-39.144519694792116,62.95283507547043,-1.6055378405239082,-31.675942281050553,-36.1293275500793,48.075683878346645,ok,true,1.2710025999695063,0.3561090100971974,6.744522683254777,1.6071283832106682,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T191,6,2026-05-23T06:58:10.869603+00:00,39.11972889996832,38.12279090000084,39.11972889996832,33,5.64254010082162,15.634571638461669,79.6,90.3,-12.49977645337541,28.405170106806665,80.85027997381496,-14.705809294758138,-23.53313027162626,58.74397429293482,26.008360404825183,-8.896866332010113,58.86709200943409,-8.896866332010113,-26.008360404825183,58.86709200943409,-2.2060328413827275,-51.93830037843293,-22.10630568088014,56.49019718459211,ok,true,1.2722928000148386,0.2898901032194194,4.823282395919032,0.999713079499085,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T146,7,2026-05-23T06:58:14.060463+00:00,42.310590900015086,41.3130441000103,42.310590900015086,33,0.23726666332161983,8.928276866323293,77.3,86.2,-3.6375234854711946,1.227269067318509,46.55938492733525,-6.492664429871175,-15.123041877419947,28.5315364311794,16.284077547681665,-3.4877348845359513,28.417849706568397,-3.4877348845359513,-16.284077547681665,28.417849706568397,-2.85514094439998,-16.350310944738457,-18.02784849615585,24.504852972470008,ok,true,1.2574241000111215,0.49674752037065767,4.775425349774946,1.8821305271097304,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T200,8,2026-05-23T06:58:17.157300+00:00,45.40746889996808,44.40867999999318,45.40746889996808,33,5.51070416332162,3.441308416391875,79.6,83.2,-1.924974252233147,28.757565079991497,18.007817084203882,-2.028540547934496,-3.183423892414876,11.349003352664525,3.6211538504123424,-0.9785527348222617,11.356879891458682,-0.9785527348222617,-3.6211538504123424,11.356879891458682,-0.10356629570134901,-31.940988972406373,-6.658813731539357,32.627860837393676,ok,true,1.2585455999942496,0.1701105969548138,3.9677759705320588,0.6427135237933419,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T073,9,2026-05-23T06:58:20.223829+00:00,48.47394809999969,47.50117180001689,48.47394809999969,32,10.52046978832162,8.56247896966118,82.7,85.9,-8.33064043336751,54.16551043517946,44.66634268984784,-5.175629287657843,-6.812008986653021,31.27552073156007,7.99997969984247,-2.382802831916422,31.331635409822866,-2.382802831916422,-7.99997969984247,31.331635409822866,3.1550111457096666,-60.97751942183248,-13.390821958287766,62.51020782950631,ok,true,1.2644504999625497,0.3306428985266431,5.107571161412173,1.0971647431099356,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T300,10,2026-05-23T06:58:23.435119+00:00,51.6851870000246,50.710570900002494,51.6851870000246,32,17.815391663321634,3.852831050136718,86.6,83.2,-15.0313353558989,91.57787998958506,20.158176196546773,-0.9969365211701234,2.5884363613285717,16.60096325546615,-2.039029454000456,0.16491016468563657,16.70631706141512,0.16491016468563657,2.039029454000456,16.70631706141512,14.034398834728776,-88.98944362825648,-3.5572129410806212,90.15952080522094,ok,true,1.2607652000151575,0.2508682870485837,4.481929347629473,0.9463086395206379,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T111,11,2026-05-23T06:59:56.474580+00:00,144.72475719999056,143.753896899987,144.72475719999056,32,13.552696350821622,0.27105997865370934,84.3,81.3,-8.356822607682057,70.30108660249533,1.4192614351985913,0.9397416634055887,6.765155832239075,1.6891554740227408,-6.752364528484804,0.7254117550567685,1.8393056037334645,0.7254117550567685,6.752364528484804,1.8393056037334645,9.296564271087645,-63.53593077025626,0.26989403882414953,64.21303176833696,ok,true,1.2753169999923557,0.22310513942509372,4.520236990752447,0.9072713427372409,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T019,12,2026-05-23T06:59:59.814373+00:00,148.06447440001648,147.09426159999566,148.06447440001648,32,22.693321350821634,0.6825826123985745,88.6,81.8,-23.24472086115348,115.73133818684457,3.5739096604898184,0.9550344875819764,8.566688236033489,7.4943001778509695,-8.3793757531123,1.1001936542109547,7.683775717249318,1.1001936542109547,8.3793757531123,7.683775717249318,24.199755348735454,-107.16464995081108,3.920390517361151,109.93297876355003,ok,true,1.2589780000271276,0.18149118985239684,3.720721778879742,0.6571208704452395,1.0,true,False
test-260523-2,rigid2_20260523_065731Z_v300_300t,rigid2_20260523_065731Z_v300_300t,T273,13,2026-05-23T07:00:02.841821+00:00,151.09206419996917,150.09364139998797,151.09206419996917,33,26.780235413321634,4.95022474012301,91.6,83.7,-33.17657770071414,134.6667007597711,25.887082086926,-0.3882522868775883,9.629132295219291,18.916445763525996,-9.030357363583851,0.5953828678282362,19.204192616410225,0.5953828678282362,9.030357363583851,19.204192616410225,32.78832541383655,-125.0375684645518,-6.970636323400004,129.45291646666064,ok,true,1.272213299991563,0.19274133475397381,5.209542741590658,0.8024367576102233,1.0,true,False
