split_mode,seed,model_name,split,rows,selected_base_combo,correction_method,selected_k,selected_bandwidth_scale,selected_amount,device_used,cuda_device_name,mean_3d_error_mm,median_3d_error_mm,p90_3d_error_mm,p95_3d_error_mm,max_3d_error_mm,pass_2mm_rate,pass_2p5mm_rate
v1000_only_random,5,cuda_density_aware_local_krr,train,408,target3_delta05_a1e-4_g0p03+trig_x2_a3e-4_g0p05+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-4_g0p07+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.249424589778954,0.9851983075690562,2.5011875205605376,3.2122367982282585,5.890255487419105,0.821078431372549,0.8995098039215687
v1000_only_random,5,cuda_density_aware_local_krr,valid,88,target3_delta05_a1e-4_g0p03+trig_x2_a3e-4_g0p05+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-4_g0p07+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.7222398318140946,1.3536028563050952,3.5125793984880014,4.093775247969388,5.495772191250256,0.6931818181818182,0.7840909090909091
v1000_only_random,5,cuda_density_aware_local_krr,test,88,target3_delta05_a1e-4_g0p03+trig_x2_a3e-4_g0p05+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-4_g0p07+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.8838798603256195,1.6224849595609685,3.467589798360866,4.148357817092996,6.624833512846675,0.6363636363636364,0.7613636363636364
v1000_only_random,6,cuda_density_aware_local_krr,train,408,trig_x2_a3e-4_g0p05+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-4_g0p07+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.2440120421859435,1.0302705629783147,2.4069267095577884,3.1004221055450425,6.194410790836751,0.8431372549019608,0.9044117647058824
v1000_only_random,6,cuda_density_aware_local_krr,valid,88,trig_x2_a3e-4_g0p05+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-4_g0p07+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.7226467722623615,1.2907683683335425,3.1380942272779246,5.0884716089491855,7.639906131021991,0.7272727272727273,0.8295454545454546
v1000_only_random,6,cuda_density_aware_local_krr,test,88,trig_x2_a3e-4_g0p05+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-4_g0p07+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.746930632460372,1.43661278086488,3.61830021158499,4.4779275499469415,8.658171497887016,0.7159090909090909,0.8181818181818182
v1000_only_random,7,cuda_density_aware_local_krr,train,408,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.2734057431097305,0.9854137354643353,2.5214744008638585,3.170370862121266,4.624714186240646,0.821078431372549,0.8946078431372549
v1000_only_random,7,cuda_density_aware_local_krr,valid,88,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,2.0542440474842287,1.58304980494812,3.6917067721657153,5.709607836077738,8.854172576852136,0.5795454545454546,0.75
v1000_only_random,7,cuda_density_aware_local_krr,test,88,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.8716481146363988,1.571817547286091,3.554362728345913,3.998531431170064,6.475571188321708,0.6363636363636364,0.7613636363636364
v1000_only_random,8,cuda_density_aware_local_krr,train,408,target3_delta05_a1e-4_g0p03+trig_x2_a3e-4_g0p05+target05_trig2_a3e-4_g0p05+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,1.191352427357138,0.968450057241228,2.428492353699686,2.7386648996591276,5.038742466400441,0.8406862745098039,0.9240196078431373
