tag,model_label,run_path,split_mode,mean_3d_error_mm,mean_3d_error_mm_std,median_3d_error_mm,p90_3d_error_mm,p95_3d_error_mm,max_3d_error_mm,pass_2mm_rate,pass_2p5mm_rate
density_mean,cuda_density_aware_local_krr,outputs/v2_gpu_density_aware_local_krr/20260531_v1000_final_density_aware_local_krr_50seeds,v1000_only_random,2.0134719353150548,0.1627692575625995,1.5655620700240689,3.9056175230380834,5.000307254840957,9.339024991612837,0.6268181818181818,0.7379545454545454
density_meanp95,cuda_density_aware_local_krr_meanp95,outputs/v2_gpu_density_aware_local_krr/20260531_v1000_final_density_aware_local_krr_meanp95_50seeds,v1000_only_random,2.017165099394242,0.1660251662215563,1.5807657320829012,3.883899160907101,5.003218595960099,9.324131880648538,0.6234090909090909,0.7377272727272727
ard_local,cuda_ard_ensemble_local_blend,outputs/v2_gpu_ard_ensemble_local_blend/20260531_v1000_final_ard_ensemble_local_blend_50seeds,v1000_only_random,2.0176907717238235,0.1632821952834736,1.5774775715527896,3.9374418364416552,4.981513859266379,9.374047313507448,0.6281818181818182,0.7375
edge_weighted,cuda_edge_weighted_ard_ensemble,outputs/v2_gpu_edge_weighted_ard_ensemble/20260531_v1000_final_edge_weighted_ard_ensemble_50seeds,v1000_only_random,2.020127466947822,0.1604891806237611,1.5737880700944555,3.968978949181262,4.990753262344216,9.233516129314062,0.6261363636363636,0.7365909090909091
density_p95,cuda_density_aware_local_krr_p95,outputs/v2_gpu_density_aware_local_krr/20260531_v1000_final_density_aware_local_krr_p95_50seeds,v1000_only_random,2.10226622315166,0.1642923180815866,1.6774382143760542,3.984622348160749,5.024349350687389,9.863154371163157,0.5943181818181817,0.7147727272727273
