source_group,source_session,session_id,target_id,planned_order_index,timestamp_utc,settle_time_s,settle_start_s,settle_end_s,sample_count,q1_cmd_deg,q2_cmd_deg,q1_encoder_deg,q2_encoder_deg,p_target_x_mm,p_target_y_mm,p_target_z_mm,p_vive_x_mm,p_vive_y_mm,p_vive_z_mm,p_tracker_vertical_home_x_mm,p_tracker_vertical_home_y_mm,p_tracker_vertical_home_z_mm,p_tracker_axis_mapped_x_mm,p_tracker_axis_mapped_y_mm,p_tracker_axis_mapped_z_mm,target_label_residual_x_mm,target_label_residual_y_mm,target_label_residual_z_mm,target_label_residual_norm_mm,quality_flags,settling_pass,settling_wait_sec,settling_position_std_mm,settling_velocity_rms_mm_s,settling_peak_to_peak_mm,tracker_valid_ratio,label_tracker_valid,label_tracker_occluded
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T854,1,2026-05-23T14:10:34.592028+00:00,36.7834233000176,35.78677319997223,36.7834233000176,33,85.82076275707163,74.37561721078296,126.4,124.9,-294.1116354882063,80.58405571141114,288.91441142400015,-164.95597865475924,212.12171148031166,187.39515323461092,-212.12171148031175,-164.95597865475924,187.39515323461094,-164.95597865475924,212.12171148031175,187.39515323461094,129.15565683344704,131.53765576890052,-101.51925818938923,210.45070292251526,ok,true,1.2563342000357807,0.4118276585748696,7.5961580889684335,1.8216757347523385,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T918,2,2026-05-23T14:10:37.472251+00:00,39.663732299988624,38.664855999988504,39.663732299988624,33,85.35933697582163,72.0588971985897,126.4,122.9,-292.5233045950094,92.10880526539,285.4121003363443,-152.26217794529487,208.28786667410293,182.2545271653397,-208.28786667410301,-152.26217794529487,182.25452716533974,-152.26217794529487,208.28786667410301,182.25452716533974,140.26112664971453,116.17906140871293,-103.15757317100457,209.31374264817853,ok,true,1.276684699987527,0.24291332442730093,5.281983255161654,0.9460999359033186,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T432,3,2026-05-23T14:10:40.315108+00:00,42.5065150000155,41.53669939999236,42.5065150000155,32,84.76607525707163,69.98604245083784,126.4,121.8,-290.6337840317199,102.24661815732077,281.88278250688984,-145.96370275203995,206.39074785778138,178.68815775101018,-206.39074785778146,-145.96370275203995,178.6881577510102,-145.96370275203995,206.39074785778146,178.6881577510102,144.67008127967998,104.14412970046061,-103.19462475587966,205.97223780656068,ok,true,1.2581127000157721,0.3642076118511791,4.703789908666614,1.1852050949955057,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T603,4,2026-05-23T14:10:43.197574+00:00,45.38895809999667,44.416999500012025,45.38895809999667,32,85.22750103832163,67.54738980642388,126.4,120.9,-290.46735139391774,114.17850137794689,277.25872111376253,-140.39437699203305,204.21446120509717,176.84522311274839,-204.21446120509725,-140.39437699203305,176.8452231127484,-140.39437699203305,204.21446120509725,176.8452231127484,150.0729744018847,90.03595982715028,-100.41349800101415,201.77027107238723,ok,true,1.2649178999708965,0.18965659336085444,4.481639087520494,0.7809181598635709,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T963,5,2026-05-23T14:10:46.101872+00:00,48.2932976000011,47.294294300023466,48.2932976000011,33,88.12789166332163,66.81579401309969,126.7,119.8,-296.1416192722157,118.04351756330746,275.7731692160073,-134.07359662311612,203.1750145630957,172.80123411636546,-203.17501456309577,-134.07359662311612,172.8012341163655,-134.07359662311612,203.17501456309577,172.8012341163655,162.06802264909956,85.13149699978823,-102.97193509964185,210.03960380123283,ok,true,1.27264149999246,0.30046340774438673,5.155742570171751,0.9661994492641235,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T107,6,2026-05-23T14:10:48.955362+00:00,51.14680639997823,50.1763237999985,51.14680639997823,32,89.41329205394663,68.23834138900784,127.6,119.9,-298.86108850946357,111.21809625190185,278.6202396573505,-134.0404659796219,207.4586786902866,170.45047174279523,-207.4586786902867,-134.0404659796219,170.45047174279526,-134.0404659796219,207.4586786902867,170.45047174279526,164.82062252984167,96.24058243838475,-108.16976791455528,219.38273863249321,ok,true,1.2772699999623,0.5517236612961319,5.1233264060147965,1.842825809359292,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T252,7,2026-05-23T14:10:51.878335+00:00,54.069733800017275,53.07556399999885,54.069733800017275,33,89.70992291332163,71.20536877304482,127.6,122.1,-299.5106667668108,96.65185834755351,284.003835944079,-147.77118651183332,213.07335201399013,175.15732625147697,-213.07335201399022,-147.77118651183332,175.157326251477,-147.77118651183332,213.07335201399022,175.157326251477,151.73948025497748,116.42149366643662,-108.84650969260204,220.0599843857046,ok,true,1.2707459999946877,0.220344198207409,4.884445468062853,0.7135689734299323,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T477,8,2026-05-23T14:10:54.729749+00:00,56.92109130002791,55.92170679999981,56.92109130002791,33,88.32564556957163,73.11564667783574,127.6,123.0,-297.4540963589221,87.09506498162543,287.0678805274056,-153.43576630790196,215.0213781075598,177.41192793234816,-215.02137810755988,-153.43576630790196,177.4119279323482,-153.43576630790196,215.02137810755988,177.4119279323482,144.01833005102011,127.92631312593437,-109.65595259505741,221.65479674531895,ok,true,1.2703363000182435,0.23607479343143625,4.979983173154308,0.9019107701834826,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T954,9,2026-05-23T14:10:57.925872+00:00,60.11724450002657,59.14839310001116,60.11724450002657,32,80.97579205394663,73.1766129939461,123.6,123.0,-286.38107015629976,85.75203158425069,287.16043221357296,-155.44161426906402,194.76711942026233,193.08261240904164,-194.76711942026242,-155.44161426906402,193.08261240904167,-155.44161426906402,194.76711942026242,193.08261240904167,130.93945588723574,109.01508783601165,-94.07781980453132,194.6280212690674,ok,true,1.258835100044962,0.26707617827960656,5.672186837485249,1.0096819121387406,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T036,10,2026-05-23T14:12:30.756070+00:00,152.94751999998698,151.97421979997307,152.94751999998698,32,80.67916119457163,71.83535403951844,123.6,122.9,-284.85249909535776,92.28978818488224,285.04937855244214,-155.15090006475265,194.54588001737213,193.30126459781957,-194.5458800173722,-155.15090006475265,193.3012645978196,-155.15090006475265,194.5458800173722,193.3012645978196,129.7015990306051,102.25609183248989,-91.74811395462257,188.93525219550978,ok,true,1.2665966000058688,0.20328054640406992,4.833466165462636,0.8318009595795802,1.0,true,False
test-260524-1,rigid2_20260523_140957Z_v1000_1000t,rigid2_20260523_140957Z_v1000_1000t,T333,11,2026-05-23T14:12:33.671803+00:00,155.86324620002415,154.88874269998632,155.86324620002415,32,79.78926861644663,74.51787194837378,123.6,123.9,-285.80405581762545,78.81304068429368,289.1141293449125,-161.5954529780608,196.08491292366597,197.013218357013,-196.08491292366605,-161.5954529780608,197.01321835701302,-161.5954529780608,196.08491292366605,197.01321835701302,124.20860283956466,117.27187223937229,-92.10091098789951,194.0696958380812,ok,true,1.2672117999754846,0.7543878491904548,7.26127319658461,2.160472253416034,1.0,true,False
