seed,split,model_name,device_used,cuda_device_name,alpha,gamma,k,bandwidth_scale,shrink,mean_3d_error_mm,median_3d_error_mm,p90_3d_error_mm,p95_3d_error_mm,max_3d_error_mm,pass_2mm_rate,pass_2p5mm_rate
35,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0827216911507438,0.8506628306896209,1.9760758415698236,2.633648925614127,11.028789730709633,0.9025714285714286,0.9451428571428572
35,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6801632513037917,0.5041092935487421,1.3105951943271679,1.6664249580303256,7.400942221485397,0.9666666666666667,0.976
35,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7128386653669528,0.5075830800422629,1.322280917511266,1.7925482006112154,8.158569039282426,0.9626666666666667,0.972
36,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.083697191284407,0.8569833508096645,1.9963510240587143,2.503358418181502,9.620972063452607,0.9011428571428571,0.9497142857142857
36,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7026028431207757,0.5120767472386015,1.2828230296741236,1.762967352164072,7.543914113834623,0.964,0.976
36,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7105609719934987,0.5041154254386219,1.3415679392810067,1.856009534369393,5.931723443054247,0.956,0.972
37,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0671429508931436,0.8388259334086441,1.936846348752425,2.559202968393706,9.325912944577414,0.9065714285714286,0.9468571428571428
37,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7384997989544388,0.5336436211633472,1.4091323272804166,1.7884108980798314,6.200436860494984,0.956,0.972
37,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.718549075002312,0.5330328052891451,1.3633072773674948,1.6764870781930328,9.613477943722566,0.9666666666666667,0.9786666666666667
38,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0833667425399587,0.8547472823008945,1.967712296329913,2.5792227409466983,9.630987393827871,0.9054285714285715,0.9468571428571428
38,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6905902688686959,0.5181490451006859,1.2223885709923867,1.7011777724884782,6.53459304204028,0.9653333333333334,0.9813333333333333
38,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7108696164688911,0.5136185514150696,1.328287351287928,1.6599851025036716,8.396785851563193,0.96,0.972
39,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0797485063008654,0.8480117977320583,1.960855268084267,2.558856973830712,9.17421733908068,0.9068571428571428,0.9457142857142857
39,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7407519551644621,0.5249009447817325,1.448953317092493,2.0051281358106054,5.336887303218328,0.9493333333333334,0.968
39,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6853065700916375,0.5117078530309933,1.3484216364628885,1.6979850612523244,5.578153490305249,0.9653333333333334,0.9773333333333334
40,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0752961692295975,0.85543416894693,1.957730178796159,2.4760342877367076,9.97083999067631,0.9062857142857143,0.9502857142857143
40,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6633591671976699,0.501336615282378,1.2471611797221156,1.6025982268633827,9.530073373372844,0.9653333333333334,0.984
40,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7586671003223779,0.5572557517196703,1.5034624292094756,2.0952600593835413,7.993097071302406,0.944,0.9613333333333334
41,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0906647539156387,0.8567160252737507,1.9875246591979656,2.5503124788491807,9.41183874693847,0.9017142857142857,0.9468571428571428
41,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6975486984105133,0.5039121706912509,1.3918210463907608,1.7536986828321588,10.280489356632545,0.964,0.9813333333333333
41,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.712075833979939,0.5256788095717544,1.3451170795359808,1.833757174894338,5.927920380136538,0.9613333333333334,0.976
42,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.062407018411602,0.8473566723555126,1.875716228061787,2.392678027146638,9.404547916026514,0.9168571428571428,0.9545714285714286
42,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7288466723945782,0.5178527155631218,1.4162229250872524,2.040915727564211,9.62190526910445,0.948,0.9693333333333334
42,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7397076633039132,0.5164151209516815,1.4061631902457412,2.113483332289428,6.760295100675695,0.9426666666666667,0.968
43,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0738023565958577,0.8483169528286203,1.9788984471635116,2.584062053971636,9.443232650967984,0.904,0.9445714285714286
43,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7464184470055027,0.5659412579427693,1.4109693224944932,1.9103885430420782,6.130407989398562,0.956,0.9733333333333334
43,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.728342376141607,0.5152171422130593,1.3840574720531968,1.9060817195025548,8.017074444584924,0.9546666666666667,0.9706666666666667
44,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0713051607307955,0.8422777809671954,1.9477428338125768,2.541387742805117,9.637581087803449,0.9082857142857143,0.9477142857142857
44,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7369541900381233,0.541270206736959,1.3738451684634514,2.0420605417621367,6.267906301566352,0.948,0.9693333333333334
44,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6968628726313252,0.5232898540525532,1.282499368900623,1.7259467823847454,9.687875558624853,0.964,0.9826666666666667
45,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0692299316335467,0.8507104862841917,1.9550581504862108,2.5174231956554727,9.960554889133535,0.9051428571428571,0.9494285714285714
45,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7147264008007699,0.5293038090661897,1.410622329536719,1.7917302417176544,5.8711839282953235,0.9653333333333334,0.9773333333333334
45,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7590869202324517,0.532190019519841,1.4419533246907101,1.8917883896888341,10.321098973693076,0.9546666666666667,0.9706666666666667
46,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0793250268490235,0.8462511739456173,1.9489107087613258,2.5507644932860694,9.754052526051838,0.908,0.9454285714285714
